"year,""GF_median"",""LB_median"",""NF_median"",""QC_median"",""SF_median"",""US_median"",""GF_q5"",""LB_q5"",""NF_q5"",""QC_q5"",""SF_q5"",""US_q5"",""GF_q95"",""LB_q95"",""NF_q95"",""QC_q95"",""SF_q95"",""US_q95"""
1971,-0.797587027868304,-0.413464694831228,1.53880484732934,-2.0714590045985,-0.68494578874067,-4.41218442104964,-1.02051837484905,-0.674112633910212,1.28549832144836,-2.32720547544427,-0.908885644438478,-4.59732730512311,-0.567557452654977,-0.138922584054858,1.79271488452613,-1.80521710536803,-0.459806032667408,-4.22573603585048
1972,-0.328367917766996,-1.07627826835721,1.31428149099132,-2.14871803642415,-0.378967624424463,-4.87505217676865,-0.552219878890861,-1.3367959388828,1.06174305960534,-2.40951056769172,-0.61890856006166,-5.05723456182964,-0.0956254636367623,-0.798663147439919,1.57644325581073,-1.8804614856521,-0.13268459230669,-4.68334270791207
1973,-0.578287086710771,-2.22608081675563,2.0025934003917,-2.0825623783018,-0.536932508073512,-4.46759028940533,-0.799084991029154,-2.48122579638845,1.8259436655764,-2.33066698981599,-0.746982893895503,-4.64135114977024,-0.347572536337633,-1.93753127479143,2.18951973119308,-1.82613299101016,-0.31547916803403,-4.28419396353375
1974,0.0796557873163959,-0.762267638053605,1.29073171934084,-2.08817516255532,-0.241425023838953,-4.29523284978471,-0.143910018756662,-1.03953799543389,1.09204532208417,-2.34308487050183,-0.4526406207221,-4.46844769508405,0.306251885368542,-0.47401026456816,1.49163749978424,-1.82961061029588,-0.032000736142284,-4.11093722063078
1975,-0.189637409094816,-0.269834951088571,1.4906657389562,-2.15839556389613,-0.556310219767654,-3.47942035653889,-0.385113998509435,-0.49286602221764,1.31303639735663,-2.36098616983252,-0.731147434926248,-3.6440013540014,0.00745394682665318,-0.0440380731858053,1.66969249723562,-1.95326238888663,-0.376211806727211,-3.30896507695594
1976,-0.205869127900168,-0.316225998710796,1.74546027876381,-2.04931282995808,-0.254142698301143,-3.07731655181071,-0.378391014441249,-0.537901132927287,1.58111918779419,-2.23828674301002,-0.413981906414834,-3.22328218198348,-0.0357950650136806,-0.0960267636106121,1.91190399396377,-1.86163222674032,-0.0850621007900287,-2.93088700138657
1977,-0.603553488721733,-0.490669971559226,1.94235468056231,-2.17926149841834,-0.0581025754299075,-4.59830095690651,-0.779499236524711,-0.696822653367445,1.79077273739575,-2.37714248438715,-0.231737262993851,-4.74624107474444,-0.431993546578305,-0.270309547918871,2.09453992062488,-1.98179317626767,0.114700182699097,-4.44813183996489
1978,-0.0515993370965201,-0.603597099153413,2.06094625018458,-1.91428958701691,-0.656290869366809,-3.46687430028721,-0.223670633278349,-0.846729774099991,1.88480853382403,-2.10331483200176,-0.817196722846895,-3.61794493835476,0.125136086769116,-0.355074868297726,2.23386291409002,-1.73417524661413,-0.502324842906213,-3.31305597157447
1979,-0.453600098146894,-0.727984596970751,1.91577250368112,-2.05770584985378,-0.507978172776242,-3.74461725614273,-0.620105452410257,-0.968625951755784,1.77172010071842,-2.23703587359058,-0.681190361228403,-3.88586661868277,-0.287793624194767,-0.492184577149682,2.05947914603817,-1.87386553984852,-0.333940886716249,-3.60265191342048
1980,-0.22594572026552,-0.168487876186435,1.2476813507601,-1.73529711281168,0.294046954883979,-2.54322278354704,-0.422889707947776,-0.394002186361062,1.07757025593807,-1.93473423100254,0.128472390405824,-2.69025558147833,-0.030934115093662,0.0670836858139934,1.41823972179175,-1.53638909024669,0.461914890692522,-2.39092574439741
