"year","FI_median","IC_NE_median","NO_MI_median","NO_NO_median","NO_SE_median","NO_SW_median","RU_AK_median","RU_KB_median","RU_KW_median","RU_RP_median","SW_median","FI_q5","IC_NE_q5","NO_MI_q5","NO_NO_q5","NO_SE_q5","NO_SW_q5","RU_AK_q5","RU_KB_q5","RU_KW_q5","RU_RP_q5","SW_q5","FI_q95","IC_NE_q95","NO_MI_q95","NO_NO_q95","NO_SE_q95","NO_SW_q95","RU_AK_q95","RU_KB_q95","RU_KW_q95","RU_RP_q95","SW_q95"
1971,-0.306303353011643,-0.895164236189835,-0.214668604618039,0.088212050749073,-0.353406085320742,-0.617252920598067,-4.7504683769645,-1.01214847994643,1.03140715525873,-3.82309113747712,2.92531600945446,-0.740824563162199,-1.12708464548232,-0.495728985845444,-0.181750059116704,-0.681610890145017,-0.890788850600599,-5.14320143705873,-1.17912046438341,0.786709284305005,-4.13620392622367,2.53999290523765,0.133237921678565,-0.664480487138078,0.0698498518377554,0.368430997239737,-0.0183873496337988,-0.326181467162587,-4.35371426797165,-0.840442219236597,1.26946283568307,-3.51414002883692,3.2971917708476
1972,0.581421919287094,-0.954533090580129,-0.26251830813843,0.053187703365847,-0.340385619907288,-0.574586119588574,-5.25661435801561,-0.780620174866271,0.274354658689699,-4.29877383490544,1.32794592693708,0.146897701272217,-1.1793580117474,-0.530856925832884,-0.213340905226333,-0.657166706500658,-0.83826915601295,-5.64822484233138,-0.954596009948407,0.0291014736396377,-4.59956854900463,0.978875661685706,1.01764004882841,-0.724883940307919,0.0159854671998295,0.32946066841631,-0.00684651592591425,-0.299297912712665,-4.87253568597607,-0.608211700792116,0.518510441936683,-3.99672477576941,1.69141009956297
1973,-0.601194027546996,-0.58312829582661,-0.214370118309688,0.15236748983426,-0.356457888049571,-0.58877465693539,-4.7758463116939,-0.812502920856867,0.796391054481166,-3.23722106127911,1.91208799444255,-1.03218236969428,-0.815805617489249,-0.489972365767968,-0.116590696925323,-0.678373793312255,-0.857800263818554,-5.17340214825301,-0.994753317933415,0.547770002461972,-3.54985356309632,1.54892976564899,-0.179046796332557,-0.35550647443964,0.075829617557958,0.433513234629879,-0.0253966353260653,-0.300531019197167,-4.39431867656955,-0.626912901155656,1.03756477703428,-2.93513144555534,2.28517129001915
1974,-0.535669119699564,-0.804624930892617,-0.0995488730993759,0.227750845065466,-0.29962406050757,-0.53322157348841,-4.66919148952897,-0.267745283578081,0.178839648410286,-3.50671994674318,3.40849292649203,-0.959192989566909,-1.03252146643516,-0.391357453045295,-0.0372339914044368,-0.627622801448719,-0.819809034032354,-5.05786387230553,-0.442790687802423,-0.0632329014871156,-3.80732848999104,3.04444347626108,-0.116812109468597,-0.579515065754955,0.201376544050215,0.510493615993481,0.0329899892341597,-0.233862737999501,-4.27832945429532,-0.092776739974076,0.426528776370253,-3.20592600247891,3.78033370214597
1975,-0.00647281824974598,-0.41054290413543,-0.108962874817399,0.217063120276539,-0.233027501384818,-0.485421244132539,-4.69039043547271,-0.119418417224291,0.78046815696166,-3.43799391709789,2.5474341517947,-0.3304592668305,-0.615014151118586,-0.348058005460442,-0.000301242594765332,-0.507805076953726,-0.720879947976851,-5.05627731578247,-0.267304206872983,0.562024578325619,-3.73842783130383,2.23494084881643,0.31377459748708,-0.210613538042023,0.131082237335349,0.444048704578936,0.0403004071095207,-0.243769530890091,-4.3276771306055,0.0286401751728225,0.993847054044362,-3.13958317617961,2.86600136685563
1976,0.0152994933579826,-0.622722649635542,-0.117483041005137,0.197898992748638,-0.231525592631578,-0.528673053212601,-4.85771320464625,-0.0900264019200405,0.764113546211322,-3.34701076523177,2.63460164873121,-0.289733198965718,-0.81742015110189,-0.340634457008311,-0.00767977564721953,-0.473379576975827,-0.740177146744711,-5.21182611423079,-0.227209102023412,0.561388002866494,-3.65540405108634,2.31537217380428,0.312862339165461,-0.431289081466144,0.112295344517151,0.407341391079259,0.0176884355816511,-0.299658102417516,-4.49690893459745,0.0513354579914582,0.966398040897541,-3.04257104217502,2.96212241438351
1977,0.202613206022992,-0.5519970972541,0.136853144110018,0.451540427015293,0.0395933971095256,-0.24610781520789,-5.18380579586398,-0.174881857132206,0.904381729823197,-4.12752450116266,2.15524343321926,-0.132386574360577,-0.753441392540384,-0.10598560331397,0.222025540520956,-0.23142871646397,-0.486887156715352,-5.549322111993,-0.317895433058709,0.679120720070669,-4.41613216662024,1.81054506995833,0.529832249421797,-0.346094783393561,0.390521497491146,0.699369657557619,0.319887178048363,0.00291167006475785,-4.80428141835773,-0.0327755631272915,1.12414945635774,-3.82753282104655,2.50077763208575
1978,-0.137906482769048,-0.260797364657538,-0.277814548151295,-0.0110101899111366,-0.470637339504339,-0.671576389883766,-5.449894246513,0.121578985725299,0.729511022644499,-3.42213039861416,1.2533019864997,-0.463427226097249,-0.464333412840296,-0.514337724616175,-0.23743052387186,-0.729027105689324,-0.906388465290332,-5.80948109560246,-0.0355462478987234,0.518017005554566,-3.73038922127507,0.927760980536941,0.185631607455084,-0.059545532701977,-0.0397274512718653,0.214048153772201,-0.213685925205674,-0.427866933668756,-5.08652248104527,0.283825189739962,0.944704181055121,-3.10731752705065,1.57672109179114
1979,-0.105022085889821,-0.724157472129992,-0.195959399868128,0.233733778497339,-0.352838009893834,-0.572830970049824,-5.27548422584201,-0.0971605006497308,0.86903315258513,-4.62822414425471,0.947559880539449,-0.419223534346843,-0.914213578276259,-0.412637159252698,0.0311882140365782,-0.598575537629052,-0.781970487358138,-5.62561788529035,-0.272477955043674,0.656640921369599,-4.916191271334,0.613604929360392,0.213837549270383,-0.529137355978819,0.0250304134044123,0.448237504410674,-0.103654716663363,-0.346987059813224,-4.92631819473168,0.0760787181915904,1.07220992193374,-4.33782341502231,1.27243033069837
1980,-0.484199275095385,-1.36124424982603,-0.512216588628719,0.0897421786487647,-0.62213965641455,-0.90546837103403,-4.57250821170101,-0.28613961403678,1.08287673565969,-3.28814787743432,1.97956705639954,-0.796802373468783,-1.58897862949627,-0.752048150136478,-0.139464101686508,-0.901777784658946,-1.13877413643212,-4.9317713866796,-0.465782859996051,0.856475155497264,-3.58342080891757,1.62048876888106,-0.167590902508512,-1.14226080639856,-0.272608276635049,0.322406723501134,-0.346967102077571,-0.665256428704458,-4.20383548490428,-0.10800054297376,1.30348309042597,-2.98467591409235,2.33767756789968
