"year,""FI_median"",""IC_NE_median"",""NO_MI_median"",""NO_NO_median"",""NO_SE_median"",""NO_SW_median"",""RU_AK_median"",""RU_KB_median"",""RU_KW_median"",""RU_RP_median"",""SW_median"",""FI_q5"",""IC_NE_q5"",""NO_MI_q5"",""NO_NO_q5"",""NO_SE_q5"",""NO_SW_q5"",""RU_AK_q5"",""RU_KB_q5"",""RU_KW_q5"",""RU_RP_q5"",""SW_q5"",""FI_q95"",""IC_NE_q95"",""NO_MI_q95"",""NO_NO_q95"",""NO_SE_q95"",""NO_SW_q95"",""RU_AK_q95"",""RU_KB_q95"",""RU_KW_q95"",""RU_RP_q95"",""SW_q95"""
1971,-0.782704555768825,-0.579737307226955,0.0943702460078896,0.283711915552288,-0.0786525406845796,0.231376414582116,-1.15553926238508,-1.46536542171498,-0.889862717483596,-0.784058805904239,-0.393702751041149,-1.6679145554089,-1.46152234632212,-0.94649352575459,-0.763471805179258,-1.08481217789401,-0.768912209260004,-2.06063710158115,-2.17068149806449,-1.80772299713818,-1.72709159932888,-1.37888314613523,0.344347302084357,0.580014120359367,1.44229518603271,1.59729591171242,1.2650536174414,1.57121531064129,-0.0550090037493616,-0.647233972206064,0.199111895412251,0.509535905487248,0.901636482016638
1972,-0.883088964188023,-0.550237672541531,0.0786641373668719,0.181428821406364,-0.0736686639182568,0.193409189198322,-1.1628916921754,-0.932533614162008,-0.553241006233373,-1.08050100939729,-0.376986729152624,-1.76050121178425,-1.39520822082098,-0.95179160059746,-0.840848680103668,-1.0399178984312,-0.772419780599701,-2.03855045565962,-1.69710189266015,-1.43618606628402,-1.96021644891827,-1.40620075848844,0.20442971079057,0.53622083146288,1.40481973133908,1.46959446898139,1.21676359668417,1.48712054818428,-0.0656895904287397,-0.0124957940577723,0.679724357951016,0.0256869548748762,0.884636692890105
1973,-0.58045106157588,-0.357453394294402,0.0600719695555952,0.132324398901268,-0.116321431413743,0.209397178068993,-1.28851358258759,-1.00146928989153,-0.503461174295349,-1.00804759934563,-0.041850170462527,-1.49869360065048,-1.2444757223792,-1.00582079905565,-0.900852960486325,-1.10196786671736,-0.789692257599032,-2.12306061308495,-1.77623333687032,-1.44195365985903,-1.89602270184998,-1.11851494846269,0.655146160347734,0.814474585911439,1.3529598941136,1.41958407785446,1.18504060603325,1.49173252882775,-0.240361319152415,-0.112261392467944,0.632410739259412,0.116361319459281,1.37386414109738
1974,-1.21139461933643,-0.674945013348263,-0.0896665676112839,-0.0790240071492488,-0.340014607142393,-0.041628474484625,-1.66370843323688,-1.3066086002292,-0.59029690523248,-1.12119861309008,0.117316741212125,-1.96318784668104,-1.43331796306535,-1.05354038624334,-0.98552389709512,-1.1637607652145,-0.89647732375132,-2.44400102117126,-1.98496591406599,-1.47975241584175,-1.95454290841946,-0.796638456092931,-0.352095913058249,0.238731607059709,1.24818342783097,1.02818497065349,0.703890450220969,1.0953373362936,-0.765930790819397,-0.544566405680825,0.523920393079127,-0.0355895158582907,1.37123826390312
1975,-1.81781015487732,-0.923193620613519,-0.543040520637247,-0.39606431197546,-0.780140632064547,-0.459948320119187,-2.47961557803605,-2.04045623004225,-1.35558747222603,-2.23050880044023,-0.492244472538922,-2.43679181861687,-1.48875015312479,-1.16415228320269,-1.04288881805779,-1.34477930483029,-1.07757700659935,-3.07236467740202,-2.51051217217893,-1.86935685889613,-2.802413471477,-1.14635119626358,-1.1700386531803,-0.275881744834416,0.133627833968149,0.329692622589467,-0.161414049679172,0.24673411041292,-1.82604278453847,-1.56080172844555,-0.81564387150429,-1.60914418267188,0.259501074261368
1976,-2.27511419218188,-1.20325558956641,-0.764221423839562,-0.598344268939628,-1.08488934458612,-0.69434367736971,-2.57505122961776,-2.65347101197618,-1.80705988496635,-2.27949178220134,-0.991628312239357,-2.78384273807072,-1.68544301048566,-1.33024501640369,-1.18859650664527,-1.62242417345402,-1.31320397181577,-3.14720155137869,-3.04230245159334,-2.25399597349996,-2.80467065116468,-1.59542934092019,-1.74664514849193,-0.657500099253403,-0.143411308225652,0.077999984429,-0.505449000662955,0.010731874420915,-1.97314690813348,-2.27305062307054,-1.3434517043497,-1.71414213906369,-0.332650569633864
1977,-2.3838239114169,-1.73736348005553,-0.849038674488985,-0.752988106290351,-1.20272734926445,-0.746361578387234,-2.46621242598706,-3.17972688653711,-1.95136971002489,-2.66262955379156,-1.14983224616483,-2.87200618202051,-2.22190089507755,-1.41331633432638,-1.32748492500538,-1.71420344478049,-1.35350630200193,-2.98927298332248,-3.55845873253324,-2.38301610325096,-3.16973385470374,-1.769373648943,-1.86982893082931,-1.22801115715104,-0.235396292582353,-0.104704372713581,-0.647599216839823,-0.08734721598496,-1.90147984441022,-2.80229820919596,-1.51164544693135,-2.11826762344566,-0.497248540932704
1978,-2.68248746806742,-1.44853016971353,-0.679333701440999,-0.652448658059262,-0.987398388039577,-0.601282416114284,-2.62761644569916,-3.08753553075982,-1.91200832274194,-2.64057224833885,-0.824596665650322,-3.15116915275675,-1.92877893189332,-1.20894008750482,-1.21733783696501,-1.48191632298712,-1.15406714080355,-3.13677425529581,-3.46607435819534,-2.30562745363211,-3.13200550057466,-1.4070579252944,-2.18604368839174,-0.942847555722006,-0.0855789736360697,-0.0217341030206046,-0.452465255495635,0.0184286333681502,-2.10517724300953,-2.71212422314619,-1.48437593218025,-2.11977912367058,-0.200329647187386
1979,-2.93139175340162,-2.41169265136307,-0.652624321592413,-0.716886305393287,-1.01987239087517,-0.672372119063416,-2.8815130820214,-3.04497422093531,-2.25564910263744,-2.93035854618683,-0.491411584924313,-3.44287619345625,-2.87316924840481,-1.21284066704941,-1.29179487095884,-1.52677092637813,-1.23843395989203,-3.42787638082521,-3.44184686768064,-2.65992953832446,-3.43237508827781,-1.10569833412503,-2.40988518555559,-1.95353460402107,-0.0323080738906924,-0.0538515353168101,-0.470991758510709,-0.0443201815282508,-2.34099378765401,-2.65920160900437,-1.84043462065945,-2.40374293862322,0.211529626096525
1980,-2.94045723945413,-1.98663296315452,-0.686254447168694,-0.767239635143817,-1.0083071084348,-0.671267171901303,-2.87183720291412,-3.04174405092262,-2.26882382599066,-2.96520264596134,-0.252493482922661,-3.46850158824589,-2.43430683291854,-1.23121980382003,-1.31213486369105,-1.50175604912893,-1.21559174032195,-3.37431861427062,-3.42717869888982,-2.67639891424915,-3.47652310496942,-0.829085066610241,-2.40363385345361,-1.54683620865592,-0.0833195892647943,-0.141472610194389,-0.461349114310947,-0.0581878616987745,-2.34029532057535,-2.66378503683653,-1.86918823059426,-2.43356964310184,0.395680776095415
1981,-2.7508239767243,-2.55130034757252,-0.778178315603171,-0.851885488766992,-1.1132658143992,-0.806833513383326,-2.75627463264504,-2.43216970964411,-2.23409630047716,-2.91672474874226,0.081579095909459,-3.23614019537831,-2.97462554170124,-1.29036293228311,-1.36858887581894,-1.57228288281315,-1.3134275612132,-3.21958863614946,-2.81060279519528,-2.62452534965865,-3.39592720876461,-0.487880294619372,-2.25953828969947,-2.11538188207141,-0.208270686598895,-0.247917424328898,-0.612006221061042,-0.247519882407321,-2.27227510649151,-2.04152048393741,-1.83544565393134,-2.43361954908595,0.735243951730283
1982,-2.37953568240493,-2.40870177583744,-0.720974545363803,-0.772592606120209,-1.04390131539244,-0.753558221967795,-2.79030252211794,-1.95039810079844,-1.93806340749985,-2.83008782811544,0.222991587740634,-2.86056280136038,-2.85086845629074,-1.22702065595403,-1.28741352382823,-1.52348854805264,-1.26939447840274,-3.24435659982414,-2.34161863015728,-2.34461109657075,-3.2890055518069,-0.3712104288957,-1.88888015909157,-1.95164558567923,-0.150280649495439,-0.182155150103823,-0.524817898289354,-0.189176162096144,-2.31007924398302,-1.54286371616823,-1.5214801104949,-2.35494468311189,0.946075022442996
1983,-2.24831255421709,-2.89595195929705,-0.801853543644637,-0.793821684962763,-1.06533135703764,-0.877708742378698,-2.9049431506792,-1.84459513875182,-1.85714055478755,-2.53383808976507,0.331687668493487,-2.7180369264062,-3.31465899080763,-1.31771457089713,-1.30700481596354,-1.56335689283914,-1.40272041595915,-3.38965948746569,-2.23505267103113,-2.29133348012248,-3.0262150695282,-0.29966375388238,-1.77353957548443,-2.47295220776127,-0.217321025847993,-0.215983249745201,-0.527165438889898,-0.286008379262669,-2.40789802624054,-1.45658210469067,-1.43314798635673,-2.03889970811511,1.08902450508139
1984,-2.20728631318752,-1.6755054775088,-0.855927558555916,-0.830695693954216,-0.985273511382486,-0.822146417466725,-2.70594595404131,-2.17638007255221,-1.50740717969511,-2.43213910855079,0.0326571830172113,-2.65506681297876,-2.1140176027648,-1.3492906736092,-1.32834467097349,-1.45886538578564,-1.31875506144331,-3.16179171378313,-2.53377618137586,-1.91535603812761,-2.87449694721952,-0.531697369742747,-1.74795641848796,-1.22125039616028,-0.30283821372244,-0.298470303428016,-0.471448647005636,-0.265633024081819,-2.25590649265422,-1.81744934300641,-1.09734157692084,-1.98472753903386,0.686615386178921
1985,-2.22029190751272,-1.37256983308556,-0.956839885008886,-1.01282976826936,-0.822087320761183,-0.916136895650241,-2.94670750131534,-2.14612120466882,-1.55178528260196,-2.50715824234472,0.0294585929965989,-2.66170036823148,-1.8852632596351,-1.45593524522883,-1.54270265812262,-1.2990573211511,-1.42101394155996,-3.42973172713832,-2.52125821700911,-1.97053768458738,-2.97749082619657,-0.564714565275073,-1.7568515675843,-0.82977567241137,-0.399191334468072,-0.460200930782617,-0.318656655668453,-0.355055876255126,-2.45791651589309,-1.77011439089428,-1.1129967216245,-2.02990594185366,0.700217829457147
1986,-2.3274696924112,-1.29858094831637,-1.03189522881369,-1.05604770251679,-0.889193866435378,-0.974294052839012,-2.80768801534126,-2.43538817499298,-1.41314953184353,-2.55454395985246,-0.207816055143897,-2.78352531805706,-1.74188672789283,-1.54146180574597,-1.57735144914878,-1.36537543395485,-1.45371828544569,-3.27079073706939,-2.80244419784239,-1.82237070542635,-3.04538072292511,-0.78975807151004,-1.86107982888231,-0.800610879274761,-0.491020581234857,-0.501069949714241,-0.393049118226671,-0.448320482202679,-2.32610455548282,-2.06467392065284,-0.985423128604593,-2.0643801628255,0.449444604355877
