"year,""EW_median"",""FR_median"",""IC_SW_median"",""IR_median"",""NI_FB_median"",""NI_FO_median"",""SC_EA_median"",""SC_WE_median"",""EW_q5"",""FR_q5"",""IC_SW_q5"",""IR_q5"",""NI_FB_q5"",""NI_FO_q5"",""SC_EA_q5"",""SC_WE_q5"",""EW_q95"",""FR_q95"",""IC_SW_q95"",""IR_q95"",""NI_FB_q95"",""NI_FO_q95"",""SC_EA_q95"",""SC_WE_q95"""
1971,-0.572359401710514,-0.46075161123061,-0.429900017488689,-0.437141039997986,0.153931749626516,0.0272650404127881,-0.508242352636777,-1.59170548939094,-1.6742458690968,-1.67095815415279,-1.51041274210434,-1.48017462548211,-0.853614201779858,-0.980938889214946,-1.42046966575964,-2.38384281465539,0.825768322243258,1.04762999546545,0.936585159043548,0.955440589115226,1.52652277846328,1.33968966583208,0.692635196314941,-0.72172077489021
1972,-0.72599623779164,-0.889543047015167,-0.426079763516478,-0.28795786990557,0.0595896432564847,0.0367550450865148,-0.547036855686273,-1.38584438957004,-1.77662086701363,-2.09106597363248,-1.43512829397102,-1.39888121958129,-0.965322577550418,-0.981699999112997,-1.42413027292504,-2.16444303773111,0.609249522652224,0.571422718643335,0.99018725824911,1.09405326735619,1.42785687583245,1.41269341591322,0.535950375885575,-0.525145713481549
1973,-0.547606166673408,-1.6840521585174,-0.592903012447074,-0.175563409586475,-0.35943922508712,0.0391796325705198,-0.313104172020709,-1.21779799902363,-1.54524698670298,-2.4231659581193,-1.60109258218384,-1.27388120879743,-1.22955292187353,-0.906572265801857,-1.27431454457614,-1.99686239067858,0.70721473633479,-0.835759387718087,0.681975215928151,1.22204937819292,0.7909494282147,1.27445633083784,0.909531136416441,-0.351737443397212
1974,-1.30077977177393,-1.96061532000048,-0.371963350190492,-0.595534807845554,-0.622648117700767,-0.727183503501303,-0.889606141279844,-1.3579731247844,-1.94138907607805,-2.67374851542204,-1.43139362876512,-1.360161584414,-1.30586382491056,-1.3743881763172,-1.57278846358942,-1.93859692206732,-0.593511234687633,-1.15705521847944,0.974704347939626,0.402915548702936,0.187209150548826,0.0862206910095547,-0.120235639118578,-0.703296081680691
1975,-1.80842441251903,-1.78874883689286,-1.37623707032856,-1.38188342514017,-1.06975763085152,-0.893805718794384,-1.36601945497116,-1.51222388774849,-2.30322365476298,-2.3353557016718,-1.89514347628601,-1.91097022617762,-1.62672000063715,-1.46166960401077,-1.84184423747705,-1.96731202524278,-1.29302613593684,-1.21958252626486,-0.817133383231545,-0.818839470817119,-0.455183011863233,-0.251756487454797,-0.869588571779582,-1.04189580742439
1976,-1.9934712868697,-1.92095414984532,-1.58192607553306,-1.79180877791685,-1.0742936548805,-1.11518141963164,-1.44575414845913,-1.65452291066222,-2.43370333459685,-2.38879496159762,-2.02823692688154,-2.27595928304755,-1.60004502064038,-1.64359035234547,-1.88398297772545,-2.0826451294926,-1.54784648300207,-1.43769109743119,-1.10730928018358,-1.29856937493714,-0.513220618813963,-0.521006063828946,-0.987367798635675,-1.21232491692326
1977,-2.20608528760939,-2.03875586997379,-1.90636002336763,-2.0032626220344,-0.816400680950301,-1.03100554768175,-1.7198299443318,-1.774222217978,-2.6495610904043,-2.51986157802488,-2.35998741197255,-2.48545922427837,-1.34852096096727,-1.58050282165416,-2.14653208261202,-2.20490887785236,-1.75469787233845,-1.55093418023639,-1.44535049426463,-1.52017836911676,-0.241325662771643,-0.421500491680032,-1.28051574540987,-1.33376346273898
1978,-1.87673773655245,-1.78675844035219,-1.6604284386905,-2.01045212094952,-1.00384114451097,-0.845169229105267,-1.47564890914757,-1.63441166997876,-2.28979105682063,-2.21963990170168,-2.07985990629887,-2.45043456987283,-1.51574734253179,-1.377211943942,-1.88754838215842,-2.05072957566139,-1.44021782814361,-1.33614914692432,-1.22680346706039,-1.54841439007592,-0.434207590050157,-0.250528100978882,-1.0460556383446,-1.21317628795043
1979,-1.74970745968932,-1.6199232463026,-2.01542752728484,-2.06803720865796,-0.971590521603731,-0.676905473006987,-1.59933447562914,-1.59917384217948,-2.18182462825911,-2.08116200158612,-2.45766044223448,-2.52128105349934,-1.49202703095229,-1.22512200152771,-2.03386356123303,-2.01780234253755,-1.28870639378464,-1.12200834837908,-1.57745729217866,-1.60193545811704,-0.398438135205641,-0.0602297537613002,-1.14187839373079,-1.16211038104937
1980,-1.76063155499466,-1.69678334320602,-1.92278033960595,-2.11270784537259,-0.944021769230033,-0.61891259169183,-1.60564678750759,-1.60014348124637,-2.18275789016152,-2.14622534617184,-2.3419356730114,-2.55104338031049,-1.4679250889482,-1.18410825373933,-2.02309895333208,-2.02090676517518,-1.31944717163724,-1.22775510772843,-1.49107585225257,-1.67564429351782,-0.350090256359003,0.00336660397313908,-1.18526121811517,-1.1668445106416
1981,-1.84022758968315,-1.90203735716168,-1.99297894437854,-1.72182860867383,-0.855656195286082,-0.502096113109598,-1.74790680120187,-1.64357449860226,-2.24045114133043,-2.34069436669315,-2.40061560834926,-2.16569770618155,-1.34339757018211,-1.01470599924467,-2.14156505053285,-2.0357746091375,-1.41650108647775,-1.44494336605448,-1.57358931466732,-1.27254467899343,-0.300481809809059,0.0677707667796491,-1.34711058199176,-1.23513421592014
1982,-1.82956261740126,-1.96389306595617,-2.00876264640032,-1.42925517094065,-0.741454141977837,-0.483053944010902,-1.80683399344304,-1.62302306482197,-2.25399399972366,-2.41293844536622,-2.43608125647685,-1.87334937245182,-1.23150115332054,-1.0136844826843,-2.21434775530326,-2.03306545715974,-1.41125848345933,-1.49907731636284,-1.58482709374434,-0.954644626711954,-0.188804905414016,0.112973242357497,-1.3957854015928,-1.20425053704545
1983,-1.87882821324358,-2.03039021425734,-2.20553207683469,-1.39215799195437,-1.12569126931931,-0.888477419740712,-1.83522271322342,-1.68605935601264,-2.31897450836464,-2.49691146584437,-2.63843145722117,-1.8501779594794,-1.62439647221946,-1.42701370066626,-2.24166104521764,-2.09297642539421,-1.43392530539489,-1.55862899208019,-1.78105778674896,-0.899604938167745,-0.569727344355919,-0.303402069455914,-1.42173444179429,-1.25773200463455
1984,-1.75149909164123,-2.13475238120907,-1.77798417220414,-1.1577433455783,-0.892087509844224,-0.724563127075317,-1.69325982752288,-1.63413638918371,-2.15041463789181,-2.56881094781615,-2.17783685302098,-1.5833445959847,-1.37161769902956,-1.2411915904559,-2.09209192727941,-2.02568186776993,-1.34497823807182,-1.70531143520355,-1.36322812658013,-0.700362090085535,-0.360352175248224,-0.1642194584657,-1.30504939830755,-1.23046800220997
1985,-1.65596913983463,-2.14254657871816,-1.53974334623727,-1.09305489196228,-0.892332702689353,-0.744890573818829,-1.63043721843498,-1.62274851771353,-2.06436556785437,-2.59080155143277,-1.96493445861304,-1.52150701267192,-1.39868284409462,-1.2962985783572,-2.03267206234298,-2.01392888652462,-1.2424434368524,-1.68373562930072,-1.09581152358309,-0.616569691788044,-0.32908037178913,-0.140081606269636,-1.22534546658044,-1.21819597662238
